name,place,type,rating,votes,noOfReviews,url,page,Cuisines:,Cost for two:,Hours:,Discount:,Featured in:,Freebie:,Today:,Special:,Promotions:,Upcoming:
Ohri's Rubaiyat,Hitech City,Casual Dining,4.0,737 votes,423 reviews,https://www.zomato.com/hyderabad/ohris-rubaiyat-hitech-city,1,"Continental, North Indian, Mughlai",₹900,"12 Noon to 3:30 PM, 7 PM to 11:30 PM (Mon-Sun)",Get 10% off all home-delivery. Valid only when you order online on Zomato.,,,,,,
13 DHABA,Gachibowli,Quick Bites,4.0,1917 votes,954 reviews,https://www.zomato.com/hyderabad/13-dhaba-gachibowli,1,North Indian,₹450,"Closed (Mon),12 Noon to 3:30 PM, 7 PM to 10:30 PM...",Get 10% off all home-delivery. Valid only when you order online on Zomato.,"Pocket friendly, Veggie friendly",,,,,
Paradise,Hitech City,Casual Dining,3.6,1931 votes,940 reviews,https://www.zomato.com/hyderabad/paradise-hitech-city,1,"Biryani, North Indian, Chinese",₹950,11:30 AM to 11 PM (Mon-Sun),,Brilliant biryanis,,,,,
Exotica,"12th Square Building, Banjara Hills",Casual DiningBar,4.2,3122 votes,1447 reviews,https://www.zomato.com/hyderabad/exotica-banjara-hills,1,"Mughlai, North Indian, Chinese","₹1,500","12 Noon to 3:30 PM, 7 PM to 11 PM (Mon-Sun)",,"Sunday brunches, Rooftops",Complimentary round of beer with our extravagant lunch buffet only (weekdays @ 545/- AI) Known for the most delicious food in town,Special Sunday Brunch,,,
New York Tavern,Madhapur,Casual Dining,3.9,217 votes,169 reviews,https://www.zomato.com/hyderabad/new-york-tavern-madhapur,1,"Mughlai, Italian, Continental, Chinese, North Indian, Indian",₹800,12 Noon to 11 PM (Mon-Sun),Get 15% off all home-delivery. Valid only when you order online on Zomato.,Happy hours,,,,,
The Grand Trunk Road,Madhapur,Casual Dining,3.9,307 votes,237 reviews,https://www.zomato.com/hyderabad/the-grand-trunk-road-madhapur,1,"North Indian, Chinese","₹1,100","12 Noon to 3:15 PM, 7 PM to 11:15 PM (Mon-Sat),12...",,,,The Grand Lunch Buffet - Every Monday to Saturday,,,
United Kitchens of India,Jubilee Hills,Casual DiningBar,4.1,1189 votes,707 reviews,https://www.zomato.com/hyderabad/united-kitchens-of-india-jubilee-hills,1,"Andhra, Kerala, Chettinad, Bengali, North Indian, Rajasthani, Chinese","₹1,100","12:30 PM to 3:30 PM, 7:30 PM to 12 Midnight (Mon-Sun)",,Regional favorites,,,,,
Chili's,Hitech City,Casual Dining,4.5,1770 votes,1207 reviews,https://www.zomato.com/hyderabad/chilis-hitech-city,1,"Mexican, American, Tex-Mex, Burger","₹1,700",12 Noon to 11 PM (Mon-Sun),,,,,,,
Jassi De Paranthe,Madhapur,Casual Dining,3.6,248 votes,179 reviews,https://www.zomato.com/hyderabad/jassi-de-paranthe-madhapur,1,"North Indian, Chinese",₹550,"11:50 AM to 5 PM, 7 PM to 11:30 PM (Mon-Tue),12 Noon...",Get 15% off all home-delivery. Valid only when you order online on Zomato.,"Terrific thalis, Veggie friendly",,,,,
Ohri's 100 Degrees,Ohri' Hitech City,Casual Dining,4.2,620 votes,471 reviews,https://www.zomato.com/hyderabad/ohris-100-degrees-hitech-city,1,Continental,"₹1,000",11:30 AM to 11:30 PM (Mon-Sun),Get 10% off all home-delivery. Valid only when you order online on Zomato.,,,,,,
Mamagoto,Banjara Hills,Casual Dining,4.1,633 votes,413 reviews,https://www.zomato.com/hyderabad/mamagoto-banjara-hills,1,Asian,"₹1,500",12:30 PM to 11 PM (Mon-Sun),,Pan-Asian delicacies,,,,,
Tabla,"Hardhick Crown, Hitech City",Casual Dining,3.5,679 votes,339 reviews,https://www.zomato.com/hyderabad/tabla-hitech-city,1,"North Indian, Chinese, Andhra",₹900,12 Noon to 11:30 PM (Mon-Sun),Get 10% off all home-delivery. Valid only when you order online on Zomato.,,,,,,
Rayalaseema Ruchulu,Jubilee Hills,Casual Dining,3.8,786 votes,503 reviews,https://www.zomato.com/hyderabad/rayalaseema-ruchulu-1-jubilee-hills,1,"Andhra, South Indian, Biryani","₹1,000","11:30 AM to 4 PM, 7 PM to 11:30 PM (Mon-Sun)",Get 20% off all home-delivery. Valid only when you order online on Zomato.,"Regional favorites, Terrific thalis, Brilliant biryanis",,,,,
Parathas & More,Kondapur,Quick Bites,3.8,350 votes,225 reviews,https://www.zomato.com/hyderabad/parathas-more-kondapur,1,North Indian,₹600,"11:30 AM to 4 PM, 7 PM to 11 PM (Mon-Fri),11 AM to 4...",,,,,,,
Chaitanya Food Court,Kukatpally,Casual Dining,3.6,498 votes,327 reviews,https://www.zomato.com/hyderabad/chaitanya-food-court-kukatpally,1,"North Indian, Chinese, Andhra",₹800,"12 Noon to 11 PM (Mon-Fri),11:30 AM to 11 PM (Sat-Sun)",Get 15% off all home-delivery. Valid only when you order online on Zomato.,,,,,,
SodaBottleOpenerWala,Jubilee Hills,Casual DiningBar,4.2,1326 votes,821 reviews,https://www.zomato.com/hyderabad/sodabottleopenerwala-jubilee-hills,1,Parsi,"₹1,300",12 Noon to 11:30 PM (Mon-Sun),,"Regional favorites, Trending this week",,,,,
Punjab Grill,Jubilee Hills,Casual Dining,4.0,232 votes,204 reviews,https://www.zomato.com/hyderabad/punjab-grill-jubilee-hills,1,"North Indian, Mughlai","₹1,500","12 Noon to 3:30 PM, 7 PM to 11 PM (Mon-Sun)",,"Regional favorites, Newly opened",,,,,
FIREWATER  Kitchen & Bar,Hitech City,Casual Dining,4.1,704 votes,434 reviews,https://www.zomato.com/hyderabad/firewater-kitchen-bar-1-hitech-city,1,"Chinese, North Indian","₹1,300",12 Noon to 11 PM (Mon-Sun),,,,,,,
AB's - Absolute Barbecues,Jubilee Hills,Casual Dining,4.8,5082 votes,2249 reviews,https://www.zomato.com/hyderabad/abs-absolute-barbecues-jubilee-hills,1,"European, Mediterranean, North Indian","₹1,800","12 Noon to 2:45 PM, 6:30 PM to 11:30 PM (Mon-Sun)",,Barbecue & grill,,,,,
Cream Stone,Jubilee Hills,Dessert Parlor,4.4,1228 votes,438 reviews,https://www.zomato.com/hyderabad/cream-stone-jubilee-hills,1,"Ice Cream, Desserts",₹350,10 AM to 2 AM (Mon-Sun),Get 10% off your first home-delivery order from us. Valid only when you order online on Zomato.,Frozen delights,,,,,
Chili's,Banjara Hills,Casual Dining,4.7,1328 votes,1085 reviews,https://www.zomato.com/hyderabad/chilis-banjara-hills,1,"Mexican, American, Tex-Mex, Burger","₹1,700",12 Noon to 11 PM (Mon-Sun),,Football screenings,,,,,
